"treefilename","strength","bias","birth","death"
"tree400.tre",0.380199901061133,"FP",2,1
"tree401.tre",0.581853487179615,"FP",2,1
"tree402.tre",0.504216069472022,"FP",2,1
"tree403.tre",0.44987055612728,"FP",2,1
"tree404.tre",-1.0265205425676,"FP",2,1
"tree405.tre",0.285757428733632,"FP",2,1
"tree406.tre",-0.843842467060313,"FP",2,1
"tree407.tre",0.863387335208245,"FP",2,1
"tree408.tre",-0.507261279621162,"FP",2,1
"tree409.tre",-1.01873893791344,"FP",2,1
"tree410.tre",-0.273661334998906,"FP",2,1
"tree411.tre",0.756762328906916,"FP",2,1
"tree412.tre",0.613661098410375,"FP",2,1
"tree413.tre",0.973111050203443,"FP",2,1
"tree414.tre",-1.20253552892245,"FP",2,1
"tree415.tre",0.110490229795687,"FP",2,1
"tree416.tre",-1.28985009423923,"FP",2,1
"tree417.tre",-1.41185558785219,"FP",2,1
"tree418.tre",0.835112296277657,"FP",2,1
"tree419.tre",-1.09391629265156,"FP",2,1
"tree420.tre",-1.31630004302133,"FP",2,1
"tree421.tre",0.351161250378937,"FP",2,1
"tree422.tre",-1.15753253432922,"FP",2,1
"tree423.tre",0.541133611928672,"FP",2,1
"tree424.tre",-0.984199492726475,"FP",2,1
"tree425.tre",-1.01281213841867,"FP",2,1
"tree426.tre",-0.00194497790653259,"FP",2,1
"tree427.tre",-0.820235720952041,"FP",2,1
"tree428.tre",-1.28571784507949,"FP",2,1
"tree429.tre",0.480812925612554,"FP",2,1
"tree430.tre",0.755929415114224,"FP",2,1
"tree431.tre",-1.17832737136632,"FP",2,1
"tree432.tre",0.242057848605327,"FP",2,1
"tree433.tre",-0.204957019072026,"FP",2,1
"tree434.tre",-0.778976536588743,"FP",2,1
"tree435.tre",-1.43233586719725,"FP",2,1
"tree436.tre",0.49727428262122,"FP",2,1
"tree437.tre",0.387046236079186,"FP",2,1
"tree438.tre",0.677429168950766,"FP",2,1
"tree439.tre",0.528059644508176,"FP",2,1
"tree440.tre",0.841275027720258,"FP",2,1
